"website_id","session_id","event_id","url_path","event_name","data_key","string_value","number_value","date_value","data_type","created_at","job_id"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9883fd71-1911-5c3f-aa8c-dd7814cff2e1","2284f70e-e4fb-4d3f-b428-00eaae965a82","/marjork/","photo_click","theme","retro","\N","\N","1","2026-03-25 21:03:19","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","bdd1b7fa-3c9f-5a6f-81da-ac77d94565aa","6d5a5fa0-2e7f-4ffe-b435-2f894a301730","/","kiss_button_click","message","красивая!","\N","\N","1","2026-04-01 02:54:41","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","ebb35ab8-4982-5d40-91d0-ee9f83d1355a","9d78a849-cad1-42ce-b466-3c9c7a78ec3e","/","theme_change","theme","space","\N","\N","1","2026-04-05 00:32:44","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","2f2a7739-d4b7-50f1-ae63-5994dcbb21d8","93e0de12-fb8f-40c9-b469-4a18584741e7","/","theme_change","theme","retro","\N","\N","1","2026-04-09 04:03:21","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","69053fb6-90d2-5dc4-8296-2ebd43068145","011c662f-4fcc-42b0-b469-be014a84dba1","/","theme_change","theme","glitch","\N","\N","1","2026-04-12 15:06:25","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","26f573b2-0d60-5774-91e8-7f399ed39637","cf360989-8e82-4284-b46e-eb3c4c1d7d11","/","kiss_button_sink","strokes","1.0000","1","\N","2","2026-04-03 16:43:13","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9d7d40e7-2bfa-5ea6-82cb-8bb78a5aa52d","361415a5-0056-4c7a-b47a-a142680d008d","/","photo_click","file","quandry-02.jpg","\N","\N","1","2026-03-31 18:50:31","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","9d7d40e7-2bfa-5ea6-82cb-8bb78a5aa52d","361415a5-0056-4c7a-b47a-a142680d008d","/","photo_click","theme","art","\N","\N","1","2026-03-31 18:50:31","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","b3cf28a3-b41b-5a41-a660-8fa2c402c33d","6654180c-dae1-4a5f-b47e-b480b0031395","/","kiss_button_click","message","u get it","\N","\N","1","2026-04-01 14:36:41","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","e49600f9-686d-5ecb-8605-8ff883585c39","be3f923a-4e3b-49f0-b495-7131acef39f6","/marjork/","photo_click","file","quandry-07.jpg","\N","\N","1","2026-03-25 21:04:19","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","e49600f9-686d-5ecb-8605-8ff883585c39","be3f923a-4e3b-49f0-b495-7131acef39f6","/marjork/","photo_click","theme","retro","\N","\N","1","2026-03-25 21:04:19","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","bde2252f-00fc-58df-9642-78a68cbb03b7","1b4c3a9a-d900-4d2c-b49a-ed435b44c95c","/marjork/","kiss_button_click","message","красивая!","\N","\N","1","2026-03-26 18:29:05","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","25b2a635-2f4d-56ed-aa34-c2fd729ccd69","581297a0-108f-4ea5-b49f-136171bc4448","/","kiss_button_sink","strokes","1.0000","1","\N","2","2026-04-11 07:03:08","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","6a2761dd-1040-5751-992a-f15dc82ad7e1","6b847f0b-20ca-494b-b4ac-396da764b3b4","/","kiss_button_click","message","u get it","\N","\N","1","2026-03-28 22:58:07","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","4dc98cd8-cea8-504c-b0ec-09c78b4f0cd8","d9db075c-5bc4-4549-b4b1-018407a72f47","/","photo_click","file","roll_03_(12).jpg","\N","\N","1","2026-04-16 13:21:17","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","4dc98cd8-cea8-504c-b0ec-09c78b4f0cd8","d9db075c-5bc4-4549-b4b1-018407a72f47","/","photo_click","theme","retro","\N","\N","1","2026-04-16 13:21:17","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","0c0e2f59-a0b4-53fd-8f09-9f5d9bf666dc","690f41b5-c38f-438f-b4b2-8a1783a55dd7","/","theme_change","theme","retro","\N","\N","1","2026-03-28 16:22:27","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","85ea8f79-1315-5115-879b-56d993592575","d1eb8d55-0d9c-4a20-b4b3-3279f8f9086f","/marjork/","photo_click","file","quandry-01.jpg","\N","\N","1","2026-03-26 18:28:39","\N"
"2828c034-f1fe-4f26-9807-8cfe87875bd7","85ea8f79-1315-5115-879b-56d993592575","d1eb8d55-0d9c-4a20-b4b3-3279f8f9086f","/marjork/","photo_click","theme","art","\N","\N","1","2026-03-26 18:28:39","\N"
